Date,Open,High,Low,Close,SMA20,SMA50,RSI14,MACD,Signal,Equity
2024-06-18,34.02,34.98,30.03,31.31,43.77,42.80,28.29,-3.03,BUY,10000.00
2024-06-20,28.76,29.3676,26.13,26.75,42.90,42.59,24.36,-3.86,BUY,8545.36
2024-06-21,27.31,28.21,24.83,27.66,42.05,42.46,26.56,-4.40,SELL,8835.65
2024-09-03,19.54,19.6051,17.72,18.08,22.92,28.60,26.87,-2.83,BUY,8835.65
2024-09-04,17.9,18.23,16.955,16.98,22.42,28.27,24.85,-2.97,BUY,8298.85
2024-09-23,13.65,13.74,12.12,12.15,17.43,24.10,24.67,-2.79,BUY,5941.81
2024-10-14,25.26,30.47,25.25,29.95,17.43,19.80,76.98,1.63,SELL,14646.01
2024-10-18,29.27,30.9399,29.18,29.58,20.32,20.04,67.54,3.08,BUY,14646.01
2024-10-28,42.17,47.68,41.25,47.36,27.27,21.58,82.69,5.69,SELL,23447.11
2024-10-29,53.75,54.68,43.52,51.51,29.04,22.17,84.79,6.69,SELL,23447.11
2025-02-06,30.25,32.6,30.02,32.38,34.44,34.51,46.61,-1.24,SELL,23447.11
2025-02-24,26.8,26.942,25.24,25.73,30.08,33.77,29.36,-1.84,BUY,23447.11
2025-02-25,25.06,25.6,23.24,23.81,29.79,33.56,25.49,-2.12,BUY,21697.99
2025-05-02,24.81,25.9,24.75,25.47,22.00,21.68,62.29,1.21,BUY,23210.25
2025-06-12,20.35,20.43,19.86,19.93,22.58,22.70,35.92,-0.95,SELL,18163.31
